taxa,group,color
LR10,MW,red
LR100,MW,red
LR101,MW,red
LR102,MW,red
LR103,MW,red
LR104,MW,red
LR105,MW,red
LR106,MW,red
LR107,MW,red
LR108,MW,red
LR109,MW,red
LR11,MW,red
LR111,MW,red
LR112,MW,red
LR113,MW,red
LR114,MW,red
LR115,MW,red
LR116,MW,red
LR117,MW,red
LR118,MW,red
LR119,MW,red
LR12,MW,red
LR120,MW,red
LR121,MW,red
LR122,MW,red
LR123,MW,red
LR124,MW,red
LR125,MW,red
LR126,MW,red
LR127,MW,red
LR128,MW,red
LR129,MW,red
LR13,MW,red
LR130,MW,red
LR131,MW,red
LR132,MW,red
LR133,MW,red
LR134,MW,red
LR135,MW,red
LR136,MW,red
LR137,MW,red
LR138,MW,red
LR139,MW,red
LR14,MW,red
LR140,MW,red
LR141,MW,red
LR142,MW,red
LR143,MW,red
LR144,MW,red
LR145,MW,red
LR146,MW,red
LR147,MW,red
LR148,MW,red
LR149,MW,red
LR15,MW,red
LR150,MW,red
LR151,MW,red
LR152,MW,red
LR153,MW,red
LR154,MW,red
LR155,MW,red
LR156,MW,red
LR157,MW,red
LR158,MW,red
LR159,MW,red
LR16,MW,red
LR160,MW,red
LR161,MW,red
LR162,MW,red
LR163,MW,red
LR164,MW,red
LR165,MW,red
LR166,MW,red
LR167,MW,red
LR168,MW,red
LR169,MW,red
LR17,MW,red
LR170,MW,red
LR171,MW,red
LR172,MW,red
LR173,MW,red
LR174,MW,red
LR175,MW,red
LR176,MW,red
LR177,MW,red
LR178,MW,red
LR179,MW,red
LR18,MW,red
LR180,MW,red
LR181,MW,red
LR182,MW,red
LR183,MW,red
LR184,MW,red
LR185,MW,red
LR186,MW,red
LR187,MW,red
LR188,MW,red
LR189,MW,red
LR19,MW,red
LR190,MW,red
LR191,MW,red
LR192,MW,red
LR193,MW,red
LR194,MW,red
LR195,MW,red
LR196,MW,red
LR197,MW,red
LR198,MW,red
LR199,MW,red
LR20,MW,red
LR200,MW,red
LR201,MW,red
LR202,MW,red
LR203,MW,red
LR204,MW,red
LR205,MW,red
LR206,MW,red
LR207,MW,red
LR208,MW,red
LR209,MW,red
LR21,MW,red
LR210,MW,red
LR211,MW,red
LR212,MW,red
LR213,MW,red
LR214,MW,red
LR215,MW,red
LR216,MW,red
LR217,MW,red
LR218,MW,red
LR219,MW,red
LR22,MW,red
LR220,MW,red
LR221,MW,red
LR222,MW,red
LR223,MW,red
LR224,MW,red
LR225,MW,red
LR226,MW,red
LR227,MW,red
LR228,MW,red
LR229,MW,red
LR23,MW,red
LR230,MW,red
LR231,MW,red
LR232,MW,red
LR233,MW,red
LR234,MW,red
LR235,MW,red
LR236,MW,red
LR237,MW,red
LR238,MW,red
LR239,MW,red
LR24,MW,red
LR240,MW,red
LR241,MW,red
LR242,MW,red
LR243,MW,red
LR244,MW,red
LR245,MW,red
LR246,MW,red
LR247,MW,red
LR248,MW,red
LR249,MW,red
LR25,MW,red
LR250,MW,red
LR251,MW,red
LR252,MW,red
LR253,MW,red
LR254,MW,red
LR255,MW,red
LR256,MW,red
LR257,MW,red
LR258,MW,red
LR259,MW,red
LR26,MW,red
LR260,MW,red
LR261,MW,red
LR262,MW,red
LR263,MW,red
LR264,MW,red
LR265,MW,red
LR266,MW,red
LR267,MW,red
LR268,MW,red
LR269,MW,red
LR27,MW,red
LR270,MW,red
LR271,MW,red
LR272,MW,red
LR273,MW,red
